game_id,spread
0022401157,-3.5
0022401160,-2.0
0022401162,-6.5
0022401163,17.5
0022401164,-6.5
0022401165,-4.5
0022401166,10.5
0022401161,16.5
0022401167,3.5
0022401168,10.0
0022401169,-13.0
0022401170,-2.0
0022401171,4.5
0022401172,3.5
0022401173,-11.5
0022401174,20.5
0022401175,4.0
0022401176,13.5
0022401177,-15.0
0022401178,11.0
0022401179,21.5
0022401180,7.0
0022401181,-9.0
0022401182,5.5
0022401184,-7.5
0022401186,-3.5
0022401187,10.5
0022401188,-5.0
0022401189,-7.0
0022401190,8.5
0022401191,-8.0
0022401192,-9.5
0022401193,-5.5
0022401194,-1.5
0022401195,23.0
0022401196,-12.5
0022401197,4.5
0022401198,3.5
0022401199,6.0
0022401200,13.5
0052400101,6.0
0052400121,6.5
0052400111,2.0
0052400131,6.0
0052400201,-2.0
0052400211,6.0
0042400121,7.0
0042400131,6.0
0042400161,4.5
0042400171,3.0
0042400101,12.5
0042400111,12.0
0042400141,13.0
0042400151,2.0
0042400122,6.5
0042400172,1.0
0042400132,4.5
0042400142,14.0
0042400162,5.5
0042400102,12.0
0042400112,10.0
0042400152,4.0
0042400123,-1.5
0042400143,-9.5
0042400173,5.5
0042400113,-5.5
0042400133,4.5
0042400163,4.0
0042400103,-5.0
0042400144,-15.0
0042400153,1.5
0042400174,6.5
0042400114,-7.5
0042400124,2.5
0042400134,4.0
0042400164,2.5
0042400104,-8.0
0042400154,3.5
0042400115,11.0
0042400125,5.5
0042400135,7.5
0042400175,-2.0
0042400155,4.0
0042400165,6.0
0042400126,1.5
0042400176,6.0
0042400156,5.5
0042400177,1.5
0042400157,2.5
0042400201,8.5
0042400211,9.0
0042400221,10.5
0042400202,6.0
0042400231,6.0
0042400212,10.0
0042400222,10.5
0042400232,11.0
0042400203,-5.0
0042400223,-6.0
0042400213,-5.5
0042400233,-4.5
0042400204,-5.0
0042400224,-7.0
0042400214,-5.0
0042400234,-4.5
0042400205,8.5
0042400225,10.5
0042400215,5.5
0042400235,9.5
0042400226,-5.5
0042400216,2.5
0042400227,8.5
0042400311,7.0
0042400301,4.5
0042400312,8.0
0042400302,6.0
0042400313,-3.0
0042400303,2.0
0042400314,-3.0
0042400304,3.0
0042400315,9.0
0042400305,4.5
0042400306,4.0
0042400401,10.0
0042400402,11.5
0042400403,-5.5
0042400404,-5.5
0042400405,9.0
0042400406,-5.5
0042400407,6.5
